CENTROID_ID,CUST_CODE,TOTAL_SPEND,TOTAL_VISIT,STD_TICKET_SIZE,DURING_SINCE_FIRST_PURCHASE,DURING_SINCE_LAST_PURCHASE,LENGHT_OF_STAY,AVERAGE_TIME_TO_EVENT,MODE_BASKET_SIZE,MODE_SHOP_TIME,MODE_WEEKDAY,AVERAGE_MONTHLY_VISIT,AVERAGE_MONTHLY_SPEND,STD_MONTHLY_SPEND,STD_MONTHLY_VISIT
2,CUST0000161376,3146.6700000000005,127,2.63243707535675,816,10,806,6.3464566929133861,3,2,1,57.407407407407412,116.54333333333332,58.523039021365726,25.575247378347076
2,CUST0000037123,2564.3799999999865,210,1.4153670585492228,817,3,814,3.8761904761904762,3,1,2,68.357142857142861,91.58499999999998,41.263923840496368,28.866953777774391
1,CUST0000708150,142.8299999999999,34,1.6385863691780791,584,22,562,16.529411764705884,2,3,5,10.999999999999998,15.870000000000003,10.913138870187627,7.0553368295055741
1,CUST0000635118,1038.0899999999986,136,2.5519609713893527,812,3,809,5.9485294117647056,3,3,3,20.142857142857146,37.074642857142862,30.421303330084669,12.472009477552657
1,CUST0000203439,535.54000000000042,151,1.2375755451448773,813,2,811,5.370860927152318,2,1,1,12.464285714285715,19.126428571428573,10.488946635893056,6.4723706346788479
2,CUST0000130484,728.55999999999858,54,3.4112786668686779,810,16,794,14.703703703703704,3,2,3,31.833333333333329,60.713333333333338,40.985728071556274,20.107350784117621
1,CUST0000169635,418.77999999999992,31,1.7451153197634131,801,47,754,24.322580645161292,3,3,6,14.933333333333334,27.918666666666667,29.763241505066087,15.549776704363174
1,CUST0000990465,1344.5400000000018,91,1.556680823839532,807,2,805,8.8461538461538467,3,2,7,28.214285714285712,48.019285714285722,22.574390029502055,11.613899132557698
1,CUST0000984281,615.57000000000028,45,1.8566556904752043,810,43,767,17.044444444444444,3,3,5,15.850000000000001,30.7785,29.387734222801189,14.543985010993378
1,CUST0000503093,1031.7699999999968,166,1.5250452215064172,805,5,800,4.8192771084337354,2,2,1,21.392857142857146,36.84892857142858,25.169185573305104,12.350070230321672
1,CUST0000718942,316.31000000000023,33,2.092879324498325,639,10,629,19.060606060606062,3,2,2,11.642857142857144,22.59357142857143,14.070369376379398,6.8723789066621395
2,CUST0000283533,1561.4300000000064,181,1.3605021110582232,815,5,810,4.4751381215469612,3,3,3,35.928571428571438,55.765357142857141,32.787624351067805,20.216557166675774
2,CUST0000195121,2348.4500000000021,56,2.3195938178529891,812,5,807,14.410714285714286,3,2,1,41.55555555555555,86.979629629629628,57.336567317155257,27.533593398466877
1,CUST0000703478,156.40000000000006,21,2.4265434343008887,738,113,625,29.761904761904763,2,3,6,7.0,13.033333333333333,9.21247192065674,3.7193189340702331
1,CUST0000610122,515.61,49,1.8082408172035169,801,7,794,16.204081632653061,3,2,6,14.916666666666664,21.48375,15.268443713669708,11.561129798692782
1,CUST0000783333,257.03000000000014,41,1.6576772282191941,396,6,390,9.5121951219512191,3,3,4,10.53846153846154,19.771538461538459,12.116701662234552,7.0994624348541588
2,CUST0000986278,5651.0499999999938,207,3.0871697817737109,815,3,812,3.9227053140096619,3,2,7,115.0714285714286,201.82321428571422,89.598586566242,36.751023864676775
2,CUST0000956717,2127.9200000000014,343,2.3589065762544514,817,2,815,2.3760932944606412,2,1,3,54.785714285714292,75.997142857142848,30.7978396572068,13.256688723748754
2,CUST0000281062,1504.3,110,2.0449271906554785,809,13,796,7.2363636363636363,3,3,4,34.5,57.857692307692318,28.966293449680752,16.708473207420148
2,CUST0000493525,1379.3299999999986,284,1.2360563778974671,817,0,817,2.8767605633802815,2,2,2,42.821428571428569,49.261785714285722,28.784319274510207,23.549421544956065
1,CUST0000335064,1037.0699999999965,248,1.518019710461737,816,0,816,3.2903225806451615,2,3,4,24.25,37.038214285714282,12.716175596901158,6.5171477109019316
1,CUST0000705973,324.48000000000013,36,2.0327326478682317,739,70,669,18.583333333333332,3,2,7,8.7368421052631575,17.077894736842104,13.770809928765367,6.4956836297016887
1,CUST0000013258,73.030000000000058,26,0.67559499571567783,798,27,771,29.653846153846153,2,3,1,4.2941176470588243,4.2958823529411765,3.3188003835963333,3.5771284224731232
1,CUST0000308476,259.19999999999993,26,2.0849605408888947,676,21,655,25.192307692307693,3,3,2,11.692307692307693,19.938461538461539,16.897378424866268,9.0501561005204216
1,CUST0000197423,292.88000000000011,26,2.7465345628673412,808,25,783,30.115384615384617,2,2,4,5.2222222222222223,16.271111111111107,7.1308546229972309,2.4845199749997664
1,CUST0000853200,118.48,21,1.9729819835095483,794,38,756,36.0,2,2,1,5.2727272727272725,10.77090909090909,13.358333765546341,5.8323690663074332
1,CUST0000831416,448.17,25,1.3467538003195492,667,7,660,26.4,3,3,2,20.375000000000004,28.010625,18.061125542428822,11.905224693385673
2,CUST0000381019,3995.449999999998,133,3.4798158241054833,818,0,818,6.1503759398496243,3,3,5,59.7857142857143,142.6946428571429,77.64111408462027,30.927746607279389
1,CUST0000460564,222.9799999999999,31,2.0126267466814793,817,3,814,26.258064516129032,3,2,5,8.95238095238095,10.61809523809524,9.50076118206056,7.779559238807388
2,CUST0000246581,792.89000000000078,147,1.5195581328970276,430,8,422,2.870748299319728,2,2,2,34.714285714285708,56.635000000000005,25.557330720782023,18.261702985164536
1,CUST0000833037,713.4399999999988,26,2.6279948377582385,709,4,705,27.115384615384617,3,2,3,16.941176470588236,41.967058823529413,36.247954873702213,12.32152868779488
1,CUST0000626795,344.24,30,1.9529010333808816,740,14,726,24.2,3,2,2,11.117647058823527,20.249411764705879,27.02515701006536,14.579931222871657
1,CUST0000265774,302.66000000000025,44,1.6718397907495555,815,1,814,18.5,2,2,6,9.1363636363636385,13.757272727272724,9.9213045246617835,6.8443437466505186
2,CUST0000664742,2422.9399999999987,118,2.023773005429863,818,13,805,6.8220338983050848,3,2,5,50.11999999999999,96.917599999999965,52.339653363773806,25.694077138515787
2,CUST0000995305,1192.8699999999976,76,1.6644095657139497,652,9,643,8.4605263157894743,3,3,7,40.699999999999996,59.6435,25.342622057514102,17.254274832632056
2,CUST0000417479,5123.6100000000461,390,1.8298325623713076,818,6,812,2.0820512820512822,3,2,7,110.24,204.94439999999992,72.068708776000648,39.511294587750477
1,CUST0000945695,242.92999999999984,47,3.0604831853788541,807,2,805,17.127659574468087,2,2,6,8.4117647058823533,14.290000000000001,15.756531792169467,7.9487980854629976
1,CUST0000446505,1247.0999999999981,79,6.5941486424934634,816,31,785,9.9367088607594933,3,2,5,16.499999999999996,47.965384615384622,35.073286704223861,6.840209173589761
1,CUST0000888170,1000.2200000000004,83,4.08841028974921,805,12,793,9.55421686746988,2,2,5,14.884615384615383,38.470000000000006,21.118082845678092,9.7006221968447566
2,CUST0000285720,2422.0999999999963,140,2.9834829942318462,811,4,807,5.7642857142857142,3,2,2,38.928571428571423,86.503571428571419,36.687347002775226,15.979738446430421
2,CUST0000540426,591.23000000000127,27,1.0641665377608889,208,24,184,6.8148148148148149,3,3,2,59.285714285714285,84.461428571428542,53.132921306197815,36.721789116522736
1,CUST0000809233,139.75000000000009,29,4.5766496639195,606,59,547,18.862068965517242,1,1,3,4.4615384615384608,10.75,12.575254088272546,3.1037293848972327
1,CUST0000195321,833.99999999999943,48,3.0210880519692704,756,9,747,15.5625,3,2,5,17.72727272727273,37.909090909090914,35.002820913475347,13.70196342327962
1,CUST0000464409,1401.8400000000008,96,2.6106875103160867,813,2,811,8.4479166666666661,3,1,2,22.53846153846154,53.916923076923077,30.546029298701988,11.297483617809522
1,CUST0000633995,226.27999999999997,26,3.57260939228213,810,23,787,30.26923076923077,3,3,4,8.0,17.406153846153845,16.628676129580651,6.5983680966176426
1,CUST0000829905,298.1099999999999,40,2.0930009139911667,815,11,804,20.1,2,2,2,16.444444444444443,33.123333333333328,16.496831345577984,10.001234491702746
1,CUST0000044051,1140.2999999999993,78,4.3993706289191641,815,3,812,10.410256410256411,3,2,4,18.074074074074076,42.233333333333327,28.40156998790345,11.450136424630983
1,CUST0000235512,227.63999999999984,81,1.3923498082945409,812,1,811,10.012345679012345,2,3,4,4.5999999999999988,9.105599999999999,6.8204258400777293,2.7129319932501068
2,CUST0000662705,1995.9699999999968,172,1.3928638900957102,818,2,816,4.7441860465116283,3,3,6,44.785714285714292,71.28464285714287,28.332206621004779,19.461238293550782
1,CUST0000771481,788.48999999999921,34,2.8248106896987166,782,40,742,21.823529411764707,3,3,4,17.277777777777779,43.805000000000007,27.406163996444306,10.800234336735247
1,CUST0000518102,311.24000000000007,42,1.1252214835741339,522,7,515,12.261904761904763,3,3,2,19.076923076923077,23.941538461538464,20.376979789101323,16.813280183609159
1,CUST0000826662,516.98000000000025,43,1.8035993482512938,789,7,782,18.186046511627907,3,2,1,16.399999999999991,25.848999999999997,26.728984997563963,13.821722034536796
1,CUST0000271364,1066.4499999999996,113,1.7448416769175963,818,1,817,7.2300884955752212,3,2,3,22.071428571428573,38.087500000000006,19.111190742785833,10.66679953148544
1,CUST0000097161,469.68000000000029,73,1.3794097568618804,818,5,813,11.136986301369863,2,2,5,11.222222222222221,17.395555555555553,16.619511142548205,11.113333111155546
1,CUST0000590105,1333.2399999999991,77,4.3043541085591643,760,23,737,9.5714285714285712,3,2,1,18.88,53.3296,42.579885812904671,10.801185120161584
1,CUST0000657020,118.44999999999997,28,0.823087422606124,802,7,795,28.392857142857142,2,2,6,7.3124999999999991,7.4031249999999993,5.0571678323321443,4.9335427179664713
1,CUST0000069522,112.68999999999997,31,2.5715175949600342,802,19,783,25.258064516129032,2,1,4,2.7894736842105261,5.9310526315789476,6.874834271485228,1.8232113763882918
2,CUST0000098319,1761.9099999999974,64,1.3394689675762488,809,39,770,12.03125,3,1,6,51.15384615384616,67.765769230769223,27.531284047994589,20.141217417357236
1,CUST0000359604,157.84000000000003,32,1.5450056675569359,689,20,669,20.90625,2,2,2,5.2857142857142865,11.274285714285712,12.015526095304304,4.4469664046495376
1,CUST0000338934,800.85999999999854,72,1.5730355112035679,526,18,508,7.0555555555555554,3,3,4,35.235294117647051,47.109411764705889,29.517817046377115,22.61319087134947
1,CUST0000729395,719.75999999999954,52,1.7819513509868758,716,3,713,13.711538461538462,3,3,3,18.782608695652176,31.293913043478256,27.991557537653076,15.489004576147702
1,CUST0000643259,548.58999999999958,73,1.5130516526063187,412,8,404,5.5342465753424657,2,2,2,27.46153846153846,42.199230769230773,21.405559113154361,13.636012188406363
1,CUST0000156274,211.59000000000003,33,1.6808247385138049,804,24,780,23.636363636363637,2,2,4,6.9444444444444464,11.754999999999999,17.475747718862657,8.7716223142980443
1,CUST0000439130,661.11000000000024,87,1.3331131723573633,672,15,657,7.5517241379310347,3,2,2,26.3,33.055500000000009,20.6083091191393,15.681517783684079
1,CUST0000384178,102.33000000000003,23,2.8066311549614067,815,1,814,35.391304347826086,2,2,5,2.7777777777777777,5.685,5.2812532708734121,2.2986845406196892
1,CUST0000058314,90.090000000000032,32,1.781359260881008,764,46,718,22.4375,1,1,6,3.2666666666666662,6.0059999999999993,4.9268053205567881,2.0805982045769644
1,CUST0000577741,1017.419999999999,37,3.69784522144583,798,13,785,21.216216216216218,3,2,2,15.150000000000002,50.871000000000009,31.601379700892817,9.1009614876671119
1,CUST0000454142,1036.1100000000004,60,1.8163840986712634,818,10,808,13.466666666666667,3,1,4,22.8,41.4444,25.36515926699456,12.76557871778636
2,CUST0000743903,2097.4899999999989,48,2.153922702292681,808,8,800,16.666666666666668,3,2,5,51.826086956521735,91.195217391304368,36.078908914087229,21.103579284119892
2,CUST0000161411,2344.9599999999914,117,2.3455091707638185,816,7,809,6.9145299145299148,3,2,2,39.481481481481488,86.850370370370385,36.577767734724027,14.525508521398233
